# BPA WIT Initiative: Centralized Wind Power Forecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Aggregated wind power forecasts for all wind generation in the BPA BAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Historical data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data Description: estimated --> AVERAGE <-- generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Date/Time is in UTC or Greenwich Mean Time and is the time the forecast was produced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# HR01 is the first hour of the forecast or next hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Inquiries at BPA Wind Integration Team / BPAwindintegration@bpa.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time (UTC),Hr01,Hr02,Hr03,Hr04,Hr05,Hr06,Hr07,Hr08,Hr09,Hr10,Hr11,Hr12,Hr13,Hr14,Hr15,Hr16,Hr17,Hr18,Hr19,Hr20,Hr21,Hr22,Hr23,Hr24,Hr25,Hr26,Hr27,Hr28,Hr29,Hr30,Hr31,Hr32,Hr33,Hr34,Hr35,Hr36,Hr37,Hr38,Hr39,Hr40,Hr41,Hr42,Hr43,Hr44,Hr45,Hr46,Hr47,Hr48,Hr49,Hr50,Hr51,Hr52,Hr53,Hr54,Hr55,Hr56,Hr57,Hr58,Hr59,Hr60,Hr61,Hr62,Hr63,Hr64,Hr65,Hr66,Hr67,Hr68,Hr69,Hr70,Hr71,Hr72
9/1/2013 0:00,354,334,366,356,335,252,181,154,139,143,160,188,210,219,198,168,126,72,50,50,71,106,221,477,866,1350,1843,2256,2537,2687,2763,2849,2800,2795,2761,2656,2455,2186,1832,1552,1295,1126,930,714,545,557,704,988,1332,1711,2098,2310,2323,2225,2070,1867,1679,1513,1346,1234,1115,990,850,712,548,411,341,351,333,375,468,559
9/1/2013 1:00,323,349,397,351,296,224,185,167,161,169,191,212,218,196,161,122,74,54,55,74,117,249,508,889,1371,1858,2269,2530,2682,2766,2777,2855,2822,2815,2744,2575,2303,1973,1692,1435,1247,1079,861,695,688,830,1078,1394,1781,2129,2341,2341,2245,2101,1918,1743,1594,1457,1374,1239,1106,948,785,614,473,385,370,405,394,478,629,727
9/1/2013 2:00,329,344,367,288,225,189,165,164,172,191,213,220,203,171,126,74,54,56,75,117,259,508,886,1379,1855,2270,2550,2679,2763,2782,2788,2852,2808,2744,2585,2299,1973,1696,1476,1246,1062,872,679,683,814,1098,1432,1748,2135,2324,2364,2228,2093,1894,1743,1588,1465,1354,1256,1112,952,763,619,471,395,380,406,456,485,618,749,849
9/1/2013 3:00,356,348,298,231,192,172,164,178,202,213,222,201,180,133,86,53,56,76,117,255,526,911,1353,1868,2271,2550,2685,2763,2778,2787,2792,2843,2743,2572,2299,1969,1699,1478,1287,1087,887,692,667,831,1099,1422,1773,2116,2323,2345,2265,2058,1923,1715,1590,1466,1355,1231,1120,956,795,608,486,392,387,416,462,541,612,742,854,947
9/1/2013 4:00,281,260,219,195,168,162,169,197,213,214,189,157,127,77,54,56,76,119,266,526,916,1377,1861,2314,2558,2719,2813,2798,2803,2837,2812,2807,2616,2340,2008,1715,1505,1329,1134,915,751,695,839,1128,1430,1779,2123,2343,2365,2285,2164,1966,1790,1622,1528,1422,1295,1152,998,839,660,492,423,394,427,473,559,676,806,897,945,1037
9/1/2013 5:00,198,172,151,136,133,143,166,188,188,159,127,96,65,45,44,54,98,227,506,889,1343,1823,2247,2551,2664,2736,2772,2698,2692,2676,2630,2572,2331,2014,1734,1498,1346,1231,1011,799,730,829,1074,1404,1772,2140,2319,2384,2326,2214,2054,1885,1696,1558,1469,1335,1174,997,815,647,488,389,380,416,474,574,707,826,948,1001,1047,1111
9/1/2013 6:00,147,133,127,129,140,167,186,182,159,124,87,54,49,43,54,95,224,498,890,1347,1829,2249,2543,2711,2745,2765,2736,2687,2651,2660,2525,2347,2015,1704,1510,1368,1193,1010,810,732,854,1091,1406,1794,2146,2321,2361,2334,2219,2051,1849,1703,1537,1443,1336,1181,988,805,647,488,394,379,412,467,576,706,829,898,1009,1050,1106,1130
9/1/2013 7:00,115,116,124,140,168,189,184,159,119,77,46,34,37,53,94,213,496,884,1327,1806,2212,2510,2673,2791,2784,2754,2756,2657,2618,2592,2318,2010,1690,1477,1327,1169,950,770,697,805,1041,1372,1745,2137,2311,2360,2300,2227,2057,1852,1671,1545,1385,1271,1143,961,781,600,460,376,367,414,485,609,762,883,953,979,1080,1110,1101,1073
9/1/2013 8:00,161,148,168,216,254,243,208,152,103,64,53,53,84,154,291,660,1148,1638,2312,2838,3160,3314,3602,3625,3527,3428,3423,3232,3232,3185,2561,2144,1837,1711,1542,1209,984,885,1066,1408,1896,2464,2955,3149,3264,3067,3113,2938,2613,2379,2131,2115,1853,1564,1304,1054,810,575,472,460,508,600,762,1004,1168,1271,1387,1465,1824,1794,1716,1542
9/1/2013 9:00,116,113,144,170,180,160,129,86,62,59,58,63,100,232,533,921,1354,1801,2175,2414,2524,2628,2668,2694,2720,2634,2536,2450,2256,2056,1752,1544,1407,1273,1085,875,804,883,1093,1367,1642,1956,2122,2117,2054,1932,1815,1668,1506,1365,1208,1118,944,753,608,500,459,486,571,716,882,1078,1292,1456,1467,1367,1243,1116,1040,884,702,560
