# BPA WIT Initiative: Centralized Wind Power Forecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Aggregated wind power forecasts for all wind generation in the BPA BAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Historical data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data Description: estimated --> AVERAGE <-- generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Date/Time is in UTC or Greenwich Mean Time and is the time the forecast was produced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# HR01 is the first hour of the forecast or next hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Inquiries at BPA Wind Integration Team / BPAwindintegration@bpa.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time (UTC),Hr01,Hr02,Hr03,Hr04,Hr05,Hr06,Hr07,Hr08,Hr09,Hr10,Hr11,Hr12,Hr13,Hr14,Hr15,Hr16,Hr17,Hr18,Hr19,Hr20,Hr21,Hr22,Hr23,Hr24,Hr25,Hr26,Hr27,Hr28,Hr29,Hr30,Hr31,Hr32,Hr33,Hr34,Hr35,Hr36,Hr37,Hr38,Hr39,Hr40,Hr41,Hr42,Hr43,Hr44,Hr45,Hr46,Hr47,Hr48,Hr49,Hr50,Hr51,Hr52,Hr53,Hr54,Hr55,Hr56,Hr57,Hr58,Hr59,Hr60,Hr61,Hr62,Hr63,Hr64,Hr65,Hr66,Hr67,Hr68,Hr69,Hr70,Hr71,Hr72
6/1/2012 0:00,2299,2209,2079,1858,1649,1454,1285,1131,1011,950,903,843,751,640,599,633,742,879,1046,1254,1502,1781,2081,2365,2620,2827,2917,2895,2780,2700,2642,2612,2581,2569,2591,2617,2658,2694,2788,2926,3099,3242,3359,3458,3545,3620,3682,3656,3531,3293,2963,2537,2024,1571,1200,929,713,553,446,412,460,593,798,1063,1374,1571,1648,1613,1562,1490,1395,1248
6/1/2012 1:00,2290,2142,1911,1691,1487,1312,1154,1031,966,917,853,758,639,586,633,742,879,1046,1254,1502,1781,2081,2365,2620,2827,2917,2895,2780,2700,2642,2612,2581,2569,2591,2617,2658,2694,2788,2926,3099,3242,3359,3458,3545,3620,3682,3656,3531,3293,2963,2537,2024,1571,1200,929,713,553,446,412,460,593,798,1063,1374,1571,1648,1613,1562,1490,1395,1248,1071
6/1/2012 2:00,1475,1370,1249,1125,1016,914,837,809,790,753,694,598,555,619,742,879,1046,1254,1502,1781,2081,2365,2620,2827,2917,2895,2780,2700,2642,2612,2581,2569,2591,2617,2658,2694,2788,2926,3099,3242,3359,3458,3545,3620,3682,3656,3531,3293,2963,2537,2024,1571,1200,929,713,553,446,412,460,593,798,1063,1374,1571,1648,1613,1562,1490,1395,1248,1071,883
6/1/2012 3:00,1046,985,909,841,770,717,711,709,688,626,547,510,592,724,879,1046,1254,1502,1781,2081,2365,2620,2827,2917,2895,2780,2700,2642,2612,2581,2569,2591,2617,2658,2694,2788,2926,3099,3242,3359,3458,3545,3620,3682,3656,3531,3293,2963,2537,2024,1571,1200,929,713,553,446,412,460,593,798,1063,1374,1571,1648,1613,1562,1490,1395,1248,1071,883,753
6/1/2012 4:00,1180,1058,968,897,850,846,856,816,731,600,546,633,746,872,1041,1234,1465,1730,2028,2303,2550,2753,2850,2829,2679,2533,2417,2376,2364,2373,2388,2450,2541,2655,2795,2964,3145,3290,3406,3511,3599,3665,3714,3672,3539,3293,2963,2537,2024,1571,1200,929,713,553,446,412,460,593,798,1063,1374,1571,1648,1613,1562,1490,1395,1248,1071,883,753,660
6/1/2012 5:00,1151,1043,958,899,885,887,841,752,618,540,632,744,861,1030,1234,1465,1730,2028,2303,2550,2753,2850,2829,2679,2533,2417,2376,2364,2373,2388,2450,2541,2655,2795,2964,3145,3290,3406,3511,3599,3665,3714,3672,3539,3293,2963,2537,2024,1571,1200,929,713,553,446,412,460,593,798,1063,1374,1571,1648,1613,1562,1490,1395,1248,1071,883,753,660,587
6/1/2012 6:00,1102,1015,955,925,908,847,749,614,534,620,727,826,963,1128,1344,1606,1914,2200,2464,2691,2810,2804,2662,2501,2354,2268,2249,2291,2377,2491,2609,2729,2858,3003,3147,3267,3366,3462,3540,3596,3633,3577,3439,3200,2892,2492,2007,1567,1194,908,688,535,442,418,475,618,832,1106,1422,1641,1761,1788,1777,1722,1623,1465,1269,1049,880,744,636,525
6/1/2012 7:00,984,929,902,887,831,736,606,530,618,729,828,966,1134,1343,1606,1914,2200,2464,2691,2810,2804,2662,2501,2354,2268,2249,2291,2377,2491,2609,2729,2858,3003,3147,3267,3366,3462,3540,3596,3633,3577,3439,3200,2892,2492,2007,1567,1194,908,688,535,442,418,475,618,832,1106,1422,1641,1761,1788,1777,1722,1623,1465,1269,1049,880,744,636,525,429
6/1/2012 8:00,1017,975,933,865,789,683,631,798,1019,1218,1304,1374,1521,1856,2266,2562,2729,2768,2750,2652,2450,2252,2103,2065,2095,2184,2313,2441,2550,2638,2737,2856,2985,3090,3169,3232,3294,3348,3397,3333,3191,2957,2713,2417,2070,1725,1399,1106,898,775,730,738,798,912,1099,1362,1693,1934,2077,2127,2107,2009,1834,1592,1312,1006,758,553,397,284,224,210
6/1/2012 9:00,965,923,857,782,679,633,799,1020,1220,1305,1375,1511,1861,2277,2562,2729,2768,2750,2652,2450,2252,2103,2065,2095,2184,2313,2441,2550,2638,2737,2856,2985,3090,3169,3232,3294,3348,3397,3333,3191,2957,2713,2417,2070,1725,1399,1106,898,775,730,738,798,912,1099,1362,1693,1934,2077,2127,2107,2009,1834,1592,1312,1006,758,553,397,284,224,210,209
