# BPA WIT Initiative: Centralized Wind Power Forecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Aggregated wind power forecasts for all wind generation in the BPA BAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Historical data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data Description: estimated --> AVERAGE <-- generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Date/Time is in UTC or Greenwich Mean Time and is the time the forecast was produced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# HR01 is the first hour of the forecast or next hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Inquiries at BPA Wind Integration Team / BPAwindintegration@bpa.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time (UTC),Hr01,Hr02,Hr03,Hr04,Hr05,Hr06,Hr07,Hr08,Hr09,Hr10,Hr11,Hr12,Hr13,Hr14,Hr15,Hr16,Hr17,Hr18,Hr19,Hr20,Hr21,Hr22,Hr23,Hr24,Hr25,Hr26,Hr27,Hr28,Hr29,Hr30,Hr31,Hr32,Hr33,Hr34,Hr35,Hr36,Hr37,Hr38,Hr39,Hr40,Hr41,Hr42,Hr43,Hr44,Hr45,Hr46,Hr47,Hr48,Hr49,Hr50,Hr51,Hr52,Hr53,Hr54,Hr55,Hr56,Hr57,Hr58,Hr59,Hr60,Hr61,Hr62,Hr63,Hr64,Hr65,Hr66,Hr67,Hr68,Hr69,Hr70,Hr71,Hr72
4/1/2013 0:00,408,346,268,183,139,126,177,294,401,570,723,914,1092,1149,1190,1223,1234,1268,1370,1524,1683,1875,2242,2598,2884,3136,3338,3477,3510,3501,3509,3449,3368,3316,3296,3276,3118,2733,2442,2232,2352,2592,2735,2777,2847,2911,3072,3232,3357,3477,3516,3462,3237,2936,2607,2341,2087,1839,1641,1494,1301,1059,855,700,642,587,533,463,407,339,260,187
4/1/2013 1:00,346,281,183,132,130,171,289,416,582,721,911,1085,1192,1190,1198,1242,1291,1356,1489,1665,1855,2219,2572,2900,3124,3330,3473,3526,3479,3475,3451,3363,3299,3296,3264,3141,2785,2374,2230,2362,2620,2811,2874,2874,2962,3055,3216,3348,3465,3504,3477,3248,2933,2602,2321,2062,1827,1595,1412,1279,1062,840,691,615,580,528,463,407,333,258,191,129
4/1/2013 2:00,281,204,141,130,182,279,413,597,725,921,1102,1177,1253,1208,1221,1298,1401,1490,1625,1807,2208,2573,2877,3116,3331,3473,3526,3515,3495,3428,3346,3301,3249,3264,3138,2807,2419,2183,2352,2596,2813,2913,2928,2964,3053,3186,3328,3427,3485,3456,3256,2968,2605,2312,2046,1805,1620,1409,1226,1059,863,691,619,560,526,458,406,334,255,191,132,90
4/1/2013 3:00,135,103,93,133,251,369,562,701,892,1094,1190,1206,1221,1210,1254,1392,1521,1606,1765,2123,2528,2851,3124,3308,3466,3518,3514,3494,3413,3358,3236,3286,3199,3128,2788,2429,2196,2296,2645,2833,2930,2984,2992,3085,3171,3288,3395,3468,3401,3215,2933,2627,2303,2032,1784,1582,1377,1163,964,801,665,591,549,504,454,391,321,247,175,117,86,57
4/1/2013 4:00,65,65,101,222,352,534,669,860,1041,1173,1229,1215,1231,1264,1346,1497,1647,1766,2122,2488,2841,3107,3340,3455,3516,3514,3496,3441,3354,3294,3245,3262,3119,2797,2434,2197,2342,2564,2837,2968,2980,3038,3094,3201,3268,3354,3411,3413,3181,2921,2628,2342,2065,1807,1587,1365,1164,947,792,661,591,545,502,430,391,321,244,176,116,85,60,37
4/1/2013 5:00,54,103,233,403,560,641,747,890,939,983,1011,1061,1143,1229,1303,1487,1699,2106,2536,2880,3131,3341,3509,3623,3669,3646,3601,3542,3479,3476,3442,3369,3041,2679,2391,2505,2746,2979,3056,3107,3156,3240,3335,3431,3521,3576,3539,3348,3051,2742,2499,2276,2046,1794,1531,1262,1022,818,675,618,575,530,464,398,330,275,221,179,138,97,61,39
4/1/2013 6:00,78,228,435,634,754,865,974,1021,1069,1062,1061,1131,1230,1283,1371,1641,1992,2417,2783,3057,3310,3452,3522,3519,3497,3451,3392,3329,3310,3289,3212,2926,2596,2331,2414,2644,2907,3016,3088,3197,3238,3334,3391,3399,3381,3346,3159,2899,2585,2322,2126,1856,1625,1383,1143,922,767,625,585,539,494,423,360,295,261,212,170,129,90,55,36,24
4/1/2013 7:00,248,418,614,793,904,995,1018,1083,1084,1072,1133,1214,1330,1384,1533,1995,2415,2758,3058,3276,3452,3507,3539,3500,3452,3400,3340,3339,3291,3226,2924,2586,2334,2406,2626,2833,2975,3027,3093,3246,3278,3337,3390,3315,3218,3082,2786,2532,2261,2045,1864,1634,1372,1148,927,749,639,571,545,501,436,368,305,258,214,175,133,100,64,43,31,29
4/1/2013 8:00,567,672,825,976,1053,1057,1071,1084,1069,1142,1274,1305,1438,1577,1909,2388,2750,3013,3276,3415,3506,3521,3520,3452,3393,3340,3339,3304,3219,2920,2586,2318,2399,2603,2849,2941,3059,3129,3178,3315,3330,3370,3384,3247,3054,2841,2496,2273,2023,1802,1634,1397,1148,936,744,622,573,525,500,435,371,303,259,214,173,134,94,64,42,32,29,27
4/1/2013 9:00,1056,1221,1358,1413,1373,1355,1304,1306,1359,1448,1560,1564,1748,2123,2514,2910,3153,3330,3450,3497,3532,3502,3475,3402,3356,3387,3355,3287,2965,2600,2339,2421,2622,2859,3024,3082,3176,3223,3244,3280,3305,3244,3153,3021,2816,2694,2476,2336,2052,1720,1441,1139,872,669,529,468,478,448,416,368,313,278,232,185,145,110,74,46,33,32,30,30
4/1/2013 10:00,1287,1373,1442,1401,1384,1346,1307,1384,1476,1530,1614,1775,2132,2540,2868,3142,3332,3450,3497,3499,3495,3461,3426,3337,3372,3362,3280,2974,2612,2325,2419,2645,2838,2979,3104,3135,3226,3284,3260,3308,3292,3227,3061,2843,2628,2510,2279,2067,1717,1434,1137,888,669,535,467,442,452,401,368,319,290,231,186,141,110,75,49,34,31,30,30,30
4/1/2013 11:00,1463,1540,1507,1458,1413,1355,1334,1396,1441,1561,1833,2257,2636,2966,3210,3407,3548,3590,3591,3546,3522,3470,3471,3484,3431,3336,3044,2723,2493,2572,2763,2963,3033,3100,3174,3216,3285,3319,3339,3373,3315,3147,2958,2675,2377,2166,1967,1734,1472,1222,993,802,604,504,481,469,448,392,333,277,227,190,150,130,97,71,48,36,41,53,69,76
4/1/2013 12:00,1447,1499,1505,1466,1418,1421,1474,1562,1670,1831,2253,2666,2959,3183,3379,3516,3594,3595,3544,3485,3475,3458,3484,3471,3361,3047,2720,2504,2559,2745,2956,3047,3079,3148,3224,3267,3322,3347,3359,3323,3141,2918,2627,2351,2134,1919,1697,1447,1203,967,789,611,499,490,468,438,402,335,282,232,190,148,121,94,68,46,36,41,55,68,78,83
4/1/2013 13:00,1532,1476,1454,1442,1438,1483,1536,1678,1939,2416,2851,3174,3375,3521,3645,3719,3742,3713,3655,3599,3557,3571,3558,3472,3164,2828,2595,2696,2890,3091,3161,3189,3213,3254,3300,3372,3455,3521,3517,3353,3118,2781,2513,2288,2072,1832,1552,1293,1063,864,677,589,569,550,501,450,374,313,257,209,165,137,102,68,43,34,38,50,64,75,83,88
4/1/2013 14:00,1318,1315,1322,1379,1462,1532,1683,1941,2320,2684,3019,3226,3347,3458,3576,3573,3534,3494,3453,3440,3463,3447,3383,3080,2716,2462,2553,2744,2916,3048,3103,3175,3213,3251,3310,3325,3372,3311,3175,2958,2687,2357,2119,1912,1694,1446,1211,984,790,610,543,524,488,448,385,332,276,223,178,142,113,84,56,37,32,37,50,67,80,85,90,99
4/1/2013 15:00,1320,1280,1351,1455,1515,1680,1960,2406,2767,3027,3231,3364,3479,3552,3613,3550,3490,3447,3411,3450,3448,3344,3066,2728,2479,2547,2754,2960,3049,3104,3144,3219,3270,3268,3361,3368,3337,3170,2962,2687,2421,2137,1901,1688,1437,1221,993,805,624,537,542,496,446,393,325,267,210,162,127,105,74,50,31,25,31,45,63,77,92,95,93,89
