# BPA WIT Initiative: Centralized Wind Power Forecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Aggregated wind power forecasts for all wind generation in the BPA BAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Historical data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data Description: estimated --> AVERAGE <-- generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Date/Time is in UTC or Greenwich Mean Time and is the time the forecast was produced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# HR01 is the first hour of the forecast or next hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Inquiries at BPA Wind Integration Team / BPAwindintegration@bpa.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time (UTC),Hr01,Hr02,Hr03,Hr04,Hr05,Hr06,Hr07,Hr08,Hr09,Hr10,Hr11,Hr12,Hr13,Hr14,Hr15,Hr16,Hr17,Hr18,Hr19,Hr20,Hr21,Hr22,Hr23,Hr24,Hr25,Hr26,Hr27,Hr28,Hr29,Hr30,Hr31,Hr32,Hr33,Hr34,Hr35,Hr36,Hr37,Hr38,Hr39,Hr40,Hr41,Hr42,Hr43,Hr44,Hr45,Hr46,Hr47,Hr48,Hr49,Hr50,Hr51,Hr52,Hr53,Hr54,Hr55,Hr56,Hr57,Hr58,Hr59,Hr60,Hr61,Hr62,Hr63,Hr64,Hr65,Hr66,Hr67,Hr68,Hr69,Hr70,Hr71,Hr72
8/1/2013 0:00,1000,1172,1272,1230,1152,1025,952,968,1003,1136,1339,1620,1828,1853,1653,1687,1690,1696,1743,1852,1965,2149,2523,2922,3289,3481,3632,3663,3735,3781,3801,3776,3717,3644,3590,3542,3497,3372,3202,2973,2679,2393,2152,1983,1854,1773,1752,1783,1904,1960,1994,1954,1761,1499,1270,1059,860,701,600,519,422,300,171,108,67,41,25,26,30,37,51,96
8/1/2013 1:00,1262,1274,1200,1145,1001,883,863,929,1014,1238,1521,1735,1839,1828,1811,1737,1741,1781,1879,1998,2176,2525,2911,3283,3501,3635,3690,3732,3780,3801,3772,3715,3635,3594,3550,3474,3392,3235,3038,2754,2421,2177,1991,1877,1787,1808,1830,1894,1993,2042,1931,1733,1464,1207,1009,807,653,539,453,365,258,162,108,68,42,28,25,30,37,49,68,96
8/1/2013 2:00,1317,1243,1182,1056,917,881,905,1024,1250,1533,1742,1830,1833,1815,1751,1759,1806,1905,2011,2195,2535,2916,3273,3485,3637,3689,3782,3774,3790,3763,3708,3633,3580,3539,3463,3348,3226,3041,2780,2460,2150,1967,1825,1754,1770,1834,1879,1958,2018,1956,1697,1440,1187,986,792,646,539,464,374,275,174,114,71,46,29,28,31,37,49,68,92,96
8/1/2013 3:00,1059,1067,949,901,814,858,980,1210,1479,1664,1774,1789,1787,1839,1738,1791,1905,2011,2195,2556,2909,3269,3478,3626,3685,3772,3822,3790,3761,3705,3633,3587,3529,3467,3354,3194,3041,2763,2496,2183,1961,1828,1718,1750,1800,1892,1959,2015,1964,1733,1441,1187,972,790,642,536,468,378,272,174,113,71,45,28,29,31,36,49,65,91,134,96
8/1/2013 4:00,988,914,793,790,844,984,1223,1522,1691,1760,1777,1788,1825,1877,1839,1933,2030,2211,2557,2919,3258,3464,3611,3675,3739,3763,3775,3731,3693,3626,3571,3512,3425,3310,3164,2992,2720,2410,2149,1918,1787,1671,1661,1720,1796,1886,1940,1877,1678,1408,1153,952,767,644,546,479,400,290,185,116,76,46,26,30,31,35,46,69,90,123,199,96
8/1/2013 5:00,882,874,796,881,989,1216,1455,1691,1740,1757,1759,1802,1866,1944,1941,2029,2204,2557,2915,3268,3467,3607,3674,3743,3765,3764,3751,3693,3648,3571,3511,3410,3297,3164,2975,2716,2417,2124,1930,1752,1667,1667,1696,1789,1876,1960,1879,1658,1406,1158,961,768,644,546,474,398,292,186,116,76,45,27,28,31,35,46,66,82,133,188,244,96
8/1/2013 6:00,716,724,770,907,1125,1350,1531,1644,1663,1682,1702,1771,1850,1906,1962,2155,2518,2861,3148,3328,3460,3555,3647,3765,3824,3828,3785,3708,3602,3469,3360,3260,3128,2984,2790,2545,2311,2145,1991,1879,1865,1838,1861,1916,1985,1952,1774,1542,1274,1032,819,666,580,499,408,292,187,114,67,37,19,21,20,24,34,52,73,109,169,213,195,96
8/1/2013 7:00,824,873,923,1123,1300,1536,1638,1661,1705,1713,1801,1876,1919,1983,2168,2529,2859,3132,3331,3451,3555,3653,3742,3814,3833,3781,3690,3607,3500,3360,3263,3140,2975,2759,2553,2304,2142,1975,1881,1828,1837,1856,1915,1977,1953,1807,1543,1275,1036,816,647,561,496,404,292,185,116,67,37,19,21,20,24,32,52,72,108,167,211,193,185,96
8/1/2013 8:00,1026,1085,1257,1453,1658,1716,1713,1741,1751,1800,1881,1957,2035,2200,2539,2858,3130,3299,3432,3548,3648,3740,3789,3819,3788,3704,3605,3508,3401,3275,3155,2997,2763,2544,2327,2157,1995,1899,1865,1840,1864,1969,2028,1971,1845,1601,1308,1057,831,649,532,465,390,275,173,108,61,32,16,19,19,25,33,52,71,95,131,159,133,116,93,96
8/1/2013 9:00,1161,1318,1497,1716,1774,1761,1753,1784,1850,1866,1948,2011,2222,2566,2874,3160,3314,3432,3535,3641,3740,3793,3805,3776,3712,3605,3508,3396,3307,3155,3002,2773,2530,2307,2160,1993,1900,1864,1840,1875,1934,2028,1993,1796,1603,1314,1058,829,651,531,441,369,275,174,106,62,33,16,19,19,26,33,53,68,95,134,157,133,115,92,79,96
